Especie,Isla,Sexo,Anio,Longitud_ Pico_cm,Profundidad _Pico_cm,Longitud_ Aleta_cm,Masa_ Corporal_kg
Adelie,Torgersen,Macho,2007,3.91,1.87,18.1,3.75
Adelie,Torgersen,Hembra,2007,3.95,1.74,18.6,3.8
Adelie,Torgersen,Hembra,2007,4.03,1.8,19.5,3.25
Adelie,Torgersen,Hembra,2007,3.88,1.83,19,3.7
Adelie,Torgersen,Hembra,2007,3.67,1.93,19.3,3.45
Adelie,Torgersen,Macho,2007,3.93,2.06,19,3.65
Adelie,Torgersen,Hembra,2007,3.89,1.78,18.1,3.625
Adelie,Torgersen,Macho,2007,3.92,1.96,19.5,4.675
Adelie,Torgersen,Hembra,2007,3.41,1.81,19.3,3.475
Adelie,Torgersen,Macho,2007,4.2,2.02,19,4.25
Adelie,Torgersen,Hembra,2007,3.78,1.71,18.6,3.3
Adelie,Torgersen,Hembra,2007,3.78,1.73,18,3.7
Adelie,Torgersen,Hembra,2007,4.11,1.76,18.2,3.2
Adelie,Torgersen,Macho,2007,3.86,2.12,19.1,3.8
Adelie,Torgersen,Macho,2007,3.46,2.11,19.8,4.4
Adelie,Torgersen,Hembra,2007,3.66,1.78,18.5,3.7
Adelie,Torgersen,Hembra,2007,3.87,1.9,19.5,3.45
Adelie,Torgersen,Macho,2007,4.25,2.07,19.7,4.5
Adelie,Torgersen,Hembra,2007,3.44,1.84,18.4,3.325
Adelie,Torgersen,Macho,2007,4.6,2.15,19.4,4.2
Adelie,Biscoe,Hembra,2007,3.78,1.83,17.4,3.4
Adelie,Biscoe,Macho,2007,3.77,1.87,18,3.6
Adelie,Biscoe,Hembra,2007,3.59,1.92,18.9,3.8
Adelie,Biscoe,Macho,2007,3.82,1.81,18.5,3.95
Adelie,Biscoe,Macho,2007,3.88,1.72,18,3.8
Adelie,Biscoe,Hembra,2007,3.53,1.89,18.7,3.8
Adelie,Biscoe,Macho,2007,4.06,1.86,18.3,3.55
Adelie,Biscoe,Hembra,2007,4.05,1.79,18.7,3.2
Adelie,Biscoe,Hembra,2007,3.79,1.86,17.2,3.15
Adelie,Biscoe,Macho,2007,4.05,1.89,18,3.95
Adelie,Dream,Hembra,2007,3.95,1.67,17.8,3.25
Adelie,Dream,Macho,2007,3.72,1.81,17.8,3.9
Adelie,Dream,Hembra,2007,3.95,1.78,18.8,3.3
Adelie,Dream,Macho,2007,4.09,1.89,18.4,3.9
Adelie,Dream,Hembra,2007,3.64,1.7,19.5,3.325
Adelie,Dream,Macho,2007,3.92,2.11,19.6,4.15
Adelie,Dream,Macho,2007,3.88,2,19,3.95
Adelie,Dream,Hembra,2007,4.22,1.85,18,3.55
Adelie,Dream,Hembra,2007,3.76,1.93,18.1,3.3
Adelie,Dream,Macho,2007,3.98,1.91,18.4,4.65
Adelie,Dream,Hembra,2007,3.65,1.8,18.2,3.15
Adelie,Dream,Macho,2007,4.08,1.84,19.5,3.9
Adelie,Dream,Hembra,2007,3.6,1.85,18.6,3.1
Adelie,Dream,Macho,2007,4.41,1.97,19.6,4.4
Adelie,Dream,Hembra,2007,3.7,1.69,18.5,3
Adelie,Dream,Macho,2007,3.96,1.88,19,4.6
Adelie,Dream,Macho,2007,4.11,1.9,18.2,3.425
Adelie,Dream,Hembra,2007,3.75,1.89,17.9,2.975
Adelie,Dream,Hembra,2007,3.6,1.79,19,3.45
Adelie,Dream,Macho,2007,4.23,2.12,19.1,4.15
Adelie,Biscoe,Hembra,2008,3.96,1.77,18.6,3.5
Adelie,Biscoe,Macho,2008,4.01,1.89,18.8,4.3
Adelie,Biscoe,Hembra,2008,3.5,1.79,19,3.45
Adelie,Biscoe,Macho,2008,4.2,1.95,20,4.05
Adelie,Biscoe,Hembra,2008,3.45,1.81,18.7,2.9
Adelie,Biscoe,Macho,2008,4.14,1.86,19.1,3.7
Adelie,Biscoe,Hembra,2008,3.9,1.75,18.6,3.55
Adelie,Biscoe,Macho,2008,4.06,1.88,19.3,3.8
Adelie,Biscoe,Hembra,2008,3.65,1.66,18.1,2.85
Adelie,Biscoe,Macho,2008,3.76,1.91,19.4,3.75
Adelie,Biscoe,Hembra,2008,3.57,1.69,18.5,3.15
Adelie,Biscoe,Macho,2008,4.13,2.11,19.5,4.4
Adelie,Biscoe,Hembra,2008,3.76,1.7,18.5,3.6
Adelie,Biscoe,Macho,2008,4.11,1.82,19.2,4.05
Adelie,Biscoe,Hembra,2008,3.64,1.71,18.4,2.85
Adelie,Biscoe,Macho,2008,4.16,1.8,19.2,3.95
Adelie,Biscoe,Hembra,2008,3.55,1.62,19.5,3.35
Adelie,Biscoe,Macho,2008,4.11,1.91,18.8,4.1
Adelie,Torgersen,Hembra,2008,3.59,1.66,19,3.05
Adelie,Torgersen,Macho,2008,4.18,1.94,19.8,4.45
Adelie,Torgersen,Hembra,2008,3.35,1.9,19,3.6
Adelie,Torgersen,Macho,2008,3.97,1.84,19,3.9
Adelie,Torgersen,Hembra,2008,3.96,1.72,19.6,3.55
Adelie,Torgersen,Macho,2008,4.58,1.89,19.7,4.15
Adelie,Torgersen,Hembra,2008,3.55,1.75,19,3.7
Adelie,Torgersen,Macho,2008,4.28,1.85,19.5,4.25
Adelie,Torgersen,Hembra,2008,4.09,1.68,19.1,3.7
Adelie,Torgersen,Macho,2008,3.72,1.94,18.4,3.9
Adelie,Torgersen,Hembra,2008,3.62,1.61,18.7,3.55
Adelie,Torgersen,Macho,2008,4.21,1.91,19.5,4
Adelie,Torgersen,Hembra,2008,3.46,1.72,18.9,3.2
Adelie,Torgersen,Macho,2008,4.29,1.76,19.6,4.7
Adelie,Torgersen,Hembra,2008,3.67,1.88,18.7,3.8
Adelie,Torgersen,Macho,2008,3.51,1.94,19.3,4.2
Adelie,Dream,Hembra,2008,3.73,1.78,19.1,3.35
Adelie,Dream,Macho,2008,4.13,2.03,19.4,3.55
Adelie,Dream,Macho,2008,3.63,1.95,19,3.8
Adelie,Dream,Hembra,2008,3.69,1.86,18.9,3.5
Adelie,Dream,Macho,2008,3.83,1.92,18.9,3.95
Adelie,Dream,Hembra,2008,3.89,1.88,19,3.6
Adelie,Dream,Hembra,2008,3.57,1.8,20.2,3.55
Adelie,Dream,Macho,2008,4.11,1.81,20.5,4.3
Adelie,Dream,Hembra,2008,3.4,1.71,18.5,3.4
Adelie,Dream,Macho,2008,3.96,1.81,18.6,4.45
Adelie,Dream,Hembra,2008,3.62,1.73,18.7,3.3
Adelie,Dream,Macho,2008,4.08,1.89,20.8,4.3
Adelie,Dream,Hembra,2008,3.81,1.86,19,3.7
Adelie,Dream,Macho,2008,4.03,1.85,19.6,4.35
Adelie,Dream,Hembra,2008,3.31,1.61,17.8,2.9
Adelie,Dream,Macho,2008,4.32,1.85,19.2,4.1
Adelie,Biscoe,Hembra,2009,3.5,1.79,19.2,3.725
Adelie,Biscoe,Macho,2009,4.1,2,20.3,4.725
Adelie,Biscoe,Hembra,2009,3.77,1.6,18.3,3.075
Adelie,Biscoe,Macho,2009,3.78,2,19,4.25
Adelie,Biscoe,Hembra,2009,3.79,1.86,19.3,2.925
Adelie,Biscoe,Macho,2009,3.97,1.89,18.4,3.55
Adelie,Biscoe,Hembra,2009,3.86,1.72,19.9,3.75
Adelie,Biscoe,Macho,2009,3.82,2,19,3.9
Adelie,Biscoe,Hembra,2009,3.81,1.7,18.1,3.175
Adelie,Biscoe,Macho,2009,4.32,1.9,19.7,4.775
Adelie,Biscoe,Hembra,2009,3.81,1.65,19.8,3.825
Adelie,Biscoe,Macho,2009,4.56,2.03,19.1,4.6
Adelie,Biscoe,Hembra,2009,3.97,1.77,19.3,3.2
Adelie,Biscoe,Macho,2009,4.22,1.95,19.7,4.275
Adelie,Biscoe,Hembra,2009,3.96,2.07,19.1,3.9
Adelie,Biscoe,Macho,2009,4.27,1.83,19.6,4.075
Adelie,Torgersen,Hembra,2009,3.86,1.7,18.8,2.9
Adelie,Torgersen,Macho,2009,3.73,2.05,19.9,3.775
Adelie,Torgersen,Hembra,2009,3.57,1.7,18.9,3.35
Adelie,Torgersen,Macho,2009,4.11,1.86,18.9,3.325
Adelie,Torgersen,Hembra,2009,3.62,1.72,18.7,3.15
Adelie,Torgersen,Macho,2009,3.77,1.98,19.8,3.5
Adelie,Torgersen,Hembra,2009,4.02,1.7,17.6,3.45
Adelie,Torgersen,Macho,2009,4.14,1.85,20.2,3.875
Adelie,Torgersen,Hembra,2009,3.52,1.59,18.6,3.05
Adelie,Torgersen,Macho,2009,4.06,1.9,19.9,4
Adelie,Torgersen,Hembra,2009,3.88,1.76,19.1,3.275
Adelie,Torgersen,Macho,2009,4.15,1.83,19.5,4.3
Adelie,Torgersen,Hembra,2009,3.9,1.71,19.1,3.05
Adelie,Torgersen,Macho,2009,4.41,1.8,21,4
Adelie,Torgersen,Hembra,2009,3.85,1.79,19,3.325
Adelie,Torgersen,Macho,2009,4.31,1.92,19.7,3.5
Adelie,Dream,Hembra,2009,3.68,1.85,19.3,3.5
Adelie,Dream,Macho,2009,3.75,1.85,19.9,4.475
Adelie,Dream,Hembra,2009,3.81,1.76,18.7,3.425
Adelie,Dream,Macho,2009,4.11,1.75,19,3.9
Adelie,Dream,Hembra,2009,3.56,1.75,19.1,3.175
Adelie,Dream,Macho,2009,4.02,2.01,20,3.975
Adelie,Dream,Hembra,2009,3.7,1.65,18.5,3.4
Adelie,Dream,Macho,2009,3.97,1.79,19.3,4.25
Adelie,Dream,Hembra,2009,4.02,1.71,19.3,3.4
Adelie,Dream,Macho,2009,4.06,1.72,18.7,3.475
Adelie,Dream,Hembra,2009,3.21,1.55,18.8,3.05
Adelie,Dream,Macho,2009,4.07,1.7,19,3.725
Adelie,Dream,Hembra,2009,3.73,1.68,19.2,3
Adelie,Dream,Macho,2009,3.9,1.87,18.5,3.65
Adelie,Dream,Macho,2009,3.92,1.86,19,4.25
Adelie,Dream,Hembra,2009,3.66,1.84,18.4,3.475
Adelie,Dream,Hembra,2009,3.6,1.78,19.5,3.45
Adelie,Dream,Macho,2009,3.78,1.81,19.3,3.75
Adelie,Dream,Hembra,2009,3.6,1.71,18.7,3.7
Adelie,Dream,Macho,2009,4.15,1.85,20.1,4
Gentoo,Biscoe,Hembra,2007,4.61,1.32,21.1,4.5
Gentoo,Biscoe,Macho,2007,5,1.63,23,5.7
Gentoo,Biscoe,Hembra,2007,4.87,1.41,21,4.45
Gentoo,Biscoe,Macho,2007,5,1.52,21.8,5.7
Gentoo,Biscoe,Macho,2007,4.76,1.45,21.5,5.4
Gentoo,Biscoe,Hembra,2007,4.65,1.35,21,4.55
Gentoo,Biscoe,Hembra,2007,4.54,1.46,21.1,4.8
Gentoo,Biscoe,Macho,2007,4.67,1.53,21.9,5.2
Gentoo,Biscoe,Hembra,2007,4.33,1.34,20.9,4.4
Gentoo,Biscoe,Macho,2007,4.68,1.54,21.5,5.15
Gentoo,Biscoe,Hembra,2007,4.09,1.37,21.4,4.65
Gentoo,Biscoe,Macho,2007,4.9,1.61,21.6,5.55
Gentoo,Biscoe,Hembra,2007,4.55,1.37,21.4,4.65
Gentoo,Biscoe,Macho,2007,4.84,1.46,21.3,5.85
Gentoo,Biscoe,Hembra,2007,4.58,1.46,21,4.2
Gentoo,Biscoe,Macho,2007,4.93,1.57,21.7,5.85
Gentoo,Biscoe,Hembra,2007,4.2,1.35,21,4.15
Gentoo,Biscoe,Macho,2007,4.92,1.52,22.1,6.3
Gentoo,Biscoe,Hembra,2007,4.62,1.45,20.9,4.8
Gentoo,Biscoe,Macho,2007,4.87,1.51,22.2,5.35
Gentoo,Biscoe,Macho,2007,5.02,1.43,21.8,5.7
Gentoo,Biscoe,Hembra,2007,4.51,1.45,21.5,5
Gentoo,Biscoe,Hembra,2007,4.65,1.45,21.3,4.4
Gentoo,Biscoe,Macho,2007,4.63,1.58,21.5,5.05
Gentoo,Biscoe,Hembra,2007,4.29,1.31,21.5,5
Gentoo,Biscoe,Macho,2007,4.61,1.51,21.5,5.1
Gentoo,Biscoe,Hembra,2007,4.45,1.43,21.6,4.1
Gentoo,Biscoe,Macho,2007,4.78,1.5,21.5,5.65
Gentoo,Biscoe,Hembra,2007,4.82,1.43,21,4.6
Gentoo,Biscoe,Macho,2007,5,1.53,22,5.55
Gentoo,Biscoe,Macho,2007,4.73,1.53,22.2,5.25
Gentoo,Biscoe,Hembra,2007,4.28,1.42,20.9,4.7
Gentoo,Biscoe,Hembra,2007,4.51,1.45,20.7,5.05
Gentoo,Biscoe,Macho,2007,5.96,1.7,23,6.05
Gentoo,Biscoe,Hembra,2008,4.91,1.48,22,5.15
Gentoo,Biscoe,Macho,2008,4.84,1.63,22,5.4
Gentoo,Biscoe,Hembra,2008,4.26,1.37,21.3,4.95
Gentoo,Biscoe,Macho,2008,4.44,1.73,21.9,5.25
Gentoo,Biscoe,Hembra,2008,4.4,1.36,20.8,4.35
Gentoo,Biscoe,Macho,2008,4.87,1.57,20.8,5.35
Gentoo,Biscoe,Hembra,2008,4.27,1.37,20.8,3.95
Gentoo,Biscoe,Macho,2008,4.96,1.6,22.5,5.7
Gentoo,Biscoe,Hembra,2008,4.53,1.37,21,4.3
Gentoo,Biscoe,Macho,2008,4.96,1.5,21.6,4.75
Gentoo,Biscoe,Macho,2008,5.05,1.59,22.2,5.55
Gentoo,Biscoe,Hembra,2008,4.36,1.39,21.7,4.9
Gentoo,Biscoe,Hembra,2008,4.55,1.39,21,4.2
Gentoo,Biscoe,Macho,2008,5.05,1.59,22.5,5.4
Gentoo,Biscoe,Hembra,2008,4.49,1.33,21.3,5.1
Gentoo,Biscoe,Macho,2008,4.52,1.58,21.5,5.3
Gentoo,Biscoe,Hembra,2008,4.66,1.42,21,4.85
Gentoo,Biscoe,Macho,2008,4.85,1.41,22,5.3
Gentoo,Biscoe,Hembra,2008,4.51,1.44,21,4.4
Gentoo,Biscoe,Macho,2008,5.01,1.5,22.5,5
Gentoo,Biscoe,Hembra,2008,4.65,1.44,21.7,4.9
Gentoo,Biscoe,Macho,2008,4.5,1.54,22,5.05
Gentoo,Biscoe,Hembra,2008,4.38,1.39,20.8,4.3
Gentoo,Biscoe,Macho,2008,4.55,1.5,22,5
Gentoo,Biscoe,Hembra,2008,4.32,1.45,20.8,4.45
Gentoo,Biscoe,Macho,2008,5.04,1.53,22.4,5.55
Gentoo,Biscoe,Hembra,2008,4.53,1.38,20.8,4.2
Gentoo,Biscoe,Macho,2008,4.62,1.49,22.1,5.3
Gentoo,Biscoe,Hembra,2008,4.57,1.39,21.4,4.4
Gentoo,Biscoe,Macho,2008,5.43,1.57,23.1,5.65
Gentoo,Biscoe,Hembra,2008,4.58,1.42,21.9,4.7
Gentoo,Biscoe,Macho,2008,4.98,1.68,23,5.7
Gentoo,Biscoe,Hembra,2008,4.62,1.44,21.4,4.65
Gentoo,Biscoe,Macho,2008,4.95,1.62,22.9,5.8
Gentoo,Biscoe,Hembra,2008,4.35,1.42,22,4.7
Gentoo,Biscoe,Macho,2008,5.07,1.5,22.3,5.55
Gentoo,Biscoe,Hembra,2008,4.77,1.5,21.6,4.75
Gentoo,Biscoe,Macho,2008,4.64,1.56,22.1,5
Gentoo,Biscoe,Macho,2008,4.82,1.56,22.1,5.1
Gentoo,Biscoe,Hembra,2008,4.65,1.48,21.7,5.2
Gentoo,Biscoe,Hembra,2008,4.64,1.5,21.6,4.7
Gentoo,Biscoe,Macho,2008,4.86,1.6,23,5.8
Gentoo,Biscoe,Hembra,2008,4.75,1.42,20.9,4.6
Gentoo,Biscoe,Macho,2008,5.11,1.63,22,6
Gentoo,Biscoe,Hembra,2008,4.52,1.38,21.5,4.75
Gentoo,Biscoe,Macho,2008,4.52,1.64,22.3,5.95
Gentoo,Biscoe,Hembra,2009,4.91,1.45,21.2,4.625
Gentoo,Biscoe,Macho,2009,5.25,1.56,22.1,5.45
Gentoo,Biscoe,Hembra,2009,4.74,1.46,21.2,4.725
Gentoo,Biscoe,Macho,2009,5,1.59,22.4,5.35
Gentoo,Biscoe,Hembra,2009,4.49,1.38,21.2,4.75
Gentoo,Biscoe,Macho,2009,5.08,1.73,22.8,5.6
Gentoo,Biscoe,Hembra,2009,4.34,1.44,21.8,4.6
Gentoo,Biscoe,Macho,2009,5.13,1.42,21.8,5.3
Gentoo,Biscoe,Hembra,2009,4.75,1.4,21.2,4.875
Gentoo,Biscoe,Macho,2009,5.21,1.7,23,5.55
Gentoo,Biscoe,Hembra,2009,4.75,1.5,21.8,4.95
Gentoo,Biscoe,Macho,2009,5.22,1.71,22.8,5.4
Gentoo,Biscoe,Hembra,2009,4.55,1.45,21.2,4.75
Gentoo,Biscoe,Macho,2009,4.95,1.61,22.4,5.65
Gentoo,Biscoe,Hembra,2009,4.45,1.47,21.4,4.85
Gentoo,Biscoe,Macho,2009,5.08,1.57,22.6,5.2
Gentoo,Biscoe,Macho,2009,4.94,1.58,21.6,4.925
Gentoo,Biscoe,Hembra,2009,4.69,1.46,22.2,4.875
Gentoo,Biscoe,Hembra,2009,4.84,1.44,20.3,4.625
Gentoo,Biscoe,Macho,2009,5.11,1.65,22.5,5.25
Gentoo,Biscoe,Hembra,2009,4.85,1.5,21.9,4.85
Gentoo,Biscoe,Macho,2009,5.59,1.7,22.8,5.6
Gentoo,Biscoe,Hembra,2009,4.72,1.55,21.5,4.975
Gentoo,Biscoe,Macho,2009,4.91,1.5,22.8,5.5
Gentoo,Biscoe,Hembra,2009,4.73,1.38,21.6,4.725
Gentoo,Biscoe,Macho,2009,4.68,1.61,21.5,5.5
Gentoo,Biscoe,Hembra,2009,4.17,1.47,21,4.7
Gentoo,Biscoe,Macho,2009,5.34,1.58,21.9,5.5
Gentoo,Biscoe,Hembra,2009,4.33,1.4,20.8,4.575
Gentoo,Biscoe,Macho,2009,4.81,1.51,20.9,5.5
Gentoo,Biscoe,Hembra,2009,5.05,1.52,21.6,5
Gentoo,Biscoe,Macho,2009,4.98,1.59,22.9,5.95
Gentoo,Biscoe,Hembra,2009,4.35,1.52,21.3,4.65
Gentoo,Biscoe,Macho,2009,5.15,1.63,23,5.5
Gentoo,Biscoe,Hembra,2009,4.62,1.41,21.7,4.375
Gentoo,Biscoe,Macho,2009,5.51,1.6,23,5.85
Gentoo,Biscoe,Hembra,2009,4.45,1.57,21.7,4.875
Gentoo,Biscoe,Macho,2009,4.88,1.62,22.2,6
Gentoo,Biscoe,Hembra,2009,4.72,1.37,21.4,4.925
Gentoo,Biscoe,Hembra,2009,4.75,1.5,21.72,5.08
Gentoo,Biscoe,Hembra,2009,4.68,1.43,21.5,4.85
Gentoo,Biscoe,Macho,2009,5.04,1.57,22.2,5.75
Gentoo,Biscoe,Hembra,2009,4.52,1.48,21.2,5.2
Gentoo,Biscoe,Macho,2009,4.99,1.61,21.3,5.4
Chinstrap,Dream,Hembra,2007,4.65,1.79,19.2,3.5
Chinstrap,Dream,Macho,2007,5,1.95,19.6,3.9
Chinstrap,Dream,Macho,2007,5.13,1.92,19.3,3.65
Chinstrap,Dream,Hembra,2007,4.54,1.87,18.8,3.525
Chinstrap,Dream,Macho,2007,5.27,1.98,19.7,3.725
Chinstrap,Dream,Hembra,2007,4.52,1.78,19.8,3.95
Chinstrap,Dream,Hembra,2007,4.61,1.82,17.8,3.25
Chinstrap,Dream,Macho,2007,5.13,1.82,19.7,3.75
Chinstrap,Dream,Hembra,2007,4.6,1.89,19.5,4.15
Chinstrap,Dream,Macho,2007,5.13,1.99,19.8,3.7
Chinstrap,Dream,Hembra,2007,4.66,1.78,19.3,3.8
Chinstrap,Dream,Macho,2007,5.17,2.03,19.4,3.775
Chinstrap,Dream,Hembra,2007,4.7,1.73,18.5,3.7
Chinstrap,Dream,Macho,2007,5.2,1.81,20.1,4.05
Chinstrap,Dream,Hembra,2007,4.59,1.71,19,3.575
Chinstrap,Dream,Macho,2007,5.05,1.96,20.1,4.05
Chinstrap,Dream,Macho,2007,5.03,2,19.7,3.3
Chinstrap,Dream,Hembra,2007,5.8,1.78,18.1,3.7
Chinstrap,Dream,Hembra,2007,4.64,1.86,19,3.45
Chinstrap,Dream,Macho,2007,4.92,1.82,19.5,4.4
Chinstrap,Dream,Hembra,2007,4.24,1.73,18.1,3.6
Chinstrap,Dream,Macho,2007,4.85,1.75,19.1,3.4
Chinstrap,Dream,Hembra,2007,4.32,1.66,18.7,2.9
Chinstrap,Dream,Macho,2007,5.06,1.94,19.3,3.8
Chinstrap,Dream,Hembra,2007,4.67,1.79,19.5,3.3
Chinstrap,Dream,Macho,2007,5.2,1.9,19.7,4.15
Chinstrap,Dream,Hembra,2008,5.05,1.84,20,3.4
Chinstrap,Dream,Macho,2008,4.95,1.9,20,3.8
Chinstrap,Dream,Hembra,2008,4.64,1.78,19.1,3.7
Chinstrap,Dream,Macho,2008,5.28,2,20.5,4.55
Chinstrap,Dream,Hembra,2008,4.09,1.66,18.7,3.2
Chinstrap,Dream,Macho,2008,5.42,2.08,20.1,4.3
Chinstrap,Dream,Hembra,2008,4.25,1.67,18.7,3.35
Chinstrap,Dream,Macho,2008,5.1,1.88,20.3,4.1
Chinstrap,Dream,Macho,2008,4.97,1.86,19.5,3.6
Chinstrap,Dream,Hembra,2008,4.75,1.68,19.9,3.9
Chinstrap,Dream,Hembra,2008,4.76,1.83,19.5,3.85
Chinstrap,Dream,Macho,2008,5.2,2.07,21,4.8
Chinstrap,Dream,Hembra,2008,4.69,1.66,19.2,2.7
Chinstrap,Dream,Macho,2008,5.35,1.99,20.5,4.5
Chinstrap,Dream,Macho,2008,4.9,1.95,21,3.95
Chinstrap,Dream,Hembra,2008,4.62,1.75,18.7,3.65
Chinstrap,Dream,Macho,2008,5.09,1.91,19.6,3.55
Chinstrap,Dream,Hembra,2008,4.55,1.7,19.6,3.5
Chinstrap,Dream,Hembra,2009,5.09,1.79,19.6,3.675
Chinstrap,Dream,Macho,2009,5.08,1.85,20.1,4.45
Chinstrap,Dream,Hembra,2009,5.01,1.79,19,3.4
Chinstrap,Dream,Macho,2009,4.9,1.96,21.2,4.3
Chinstrap,Dream,Macho,2009,5.15,1.87,18.7,3.25
Chinstrap,Dream,Hembra,2009,4.98,1.73,19.8,3.675
Chinstrap,Dream,Hembra,2009,4.81,1.64,19.9,3.325
Chinstrap,Dream,Macho,2009,5.14,1.9,20.1,3.95
Chinstrap,Dream,Hembra,2009,4.57,1.73,19.3,3.6
Chinstrap,Dream,Macho,2009,5.07,1.97,20.3,4.05
Chinstrap,Dream,Hembra,2009,4.25,1.73,18.7,3.35
Chinstrap,Dream,Macho,2009,5.22,1.88,19.7,3.45
Chinstrap,Dream,Hembra,2009,4.52,1.66,19.1,3.25
Chinstrap,Dream,Macho,2009,4.93,1.99,20.3,4.05
Chinstrap,Dream,Macho,2009,5.02,1.88,20.2,3.8
Chinstrap,Dream,Hembra,2009,4.56,1.94,19.4,3.525
Chinstrap,Dream,Macho,2009,5.19,1.95,20.6,3.95
Chinstrap,Dream,Hembra,2009,4.68,1.65,18.9,3.65
Chinstrap,Dream,Hembra,2009,4.57,1.7,19.5,3.65
Chinstrap,Dream,Macho,2009,5.58,1.98,20.7,4
Chinstrap,Dream,Hembra,2009,4.35,1.81,20.2,3.4
Chinstrap,Dream,Macho,2009,4.96,1.82,19.3,3.775
Chinstrap,Dream,Macho,2009,5.08,1.9,21,4.1
Chinstrap,Dream,Hembra,2009,5.02,1.87,19.8,3.775
